0.00, [INFO], robot3, {'battery-level': '72.32'}, None, None
0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 2', 'position': [-38.0, 21.5, 0.0]}, None, None
0.13, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.7232396784987936, 'battery_discharge_rate': 0.0004, 'id': 3, 'local_plan': [['navigation', ['IC Room 2', [[-13.5, 18.0, -1.57], [-13.5, 16.0], [-37.0, 16.0], [-37.0, 21.5], [-38.0, 21.5, 0.0]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 7', 'name': 'r3', 'position': [-13.5, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'navigation', 'operate_drawer']}, None, None
0.13, [DEBUG], logger, Simulation open, None, None
10.05, [INFO], robot3, {'battery-level': '71.96'}, None, None
20.08, [INFO], robot3, {'battery-level': '71.56'}, None, None
30.01, [INFO], robot3, {'battery-level': '71.16'}, None, None
40.04, [INFO], robot3, {'battery-level': '70.76'}, None, None
50.06, [INFO], robot3, {'battery-level': '70.36'}, None, None
60.01, [INFO], robot3, {'battery-level': '69.96'}, None, None
70.05, [INFO], robot3, {'battery-level': '69.56'}, None, None
80.06, [INFO], robot3, {'battery-level': '69.16'}, None, None
90.10, [INFO], robot3, {'battery-level': '68.76'}, None, None
100.05, [INFO], robot3, {'battery-level': '68.36'}, None, None
110.06, [INFO], robot3, {'battery-level': '67.96'}, None, None
120.02, [INFO], robot3, {'battery-level': '67.56'}, None, None
130.01, [INFO], robot3, {'battery-level': '67.16'}, None, None
140.06, [INFO], robot3, {'battery-level': '66.76'}, None, None
150.08, [INFO], robot3, {'battery-level': '66.36'}, None, None
160.03, [INFO], robot3, {'battery-level': '65.96'}, None, None
170.07, [INFO], robot3, {'battery-level': '65.56'}, None, None
180.00, [INFO], robot3, {'battery-level': '65.16'}, None, None
190.04, [INFO], robot3, {'battery-level': '64.76'}, None, None
200.06, [INFO], robot3, {'battery-level': '64.36'}, None, None
210.09, [INFO], robot3, {'battery-level': '63.96'}, None, None
220.03, [INFO], robot3, {'battery-level': '63.56'}, None, None
230.03, [INFO], robot3, {'battery-level': '63.16'}, None, None
239.96, [INFO], robot3, {'battery-level': '62.76'}, None, None
250.09, [INFO], robot3, {'battery-level': '62.36'}, None, None
260.01, [INFO], robot3, {'battery-level': '61.96'}, None, None
270.03, [INFO], robot3, {'battery-level': '61.56'}, None, None
280.08, [INFO], robot3, {'battery-level': '61.16'}, None, None
290.01, [INFO], robot3, {'battery-level': '60.76'}, None, None
300.05, [INFO], robot3, {'battery-level': '60.36'}, None, None
310.08, [INFO], robot3, {'battery-level': '59.96'}, None, None
320.10, [INFO], robot3, {'battery-level': '59.56'}, None, None
330.04, [INFO], robot3, {'battery-level': '59.16'}, None, None
340.08, [INFO], robot3, {'battery-level': '58.76'}, None, None
350.02, [INFO], robot3, {'battery-level': '58.36'}, None, None
360.05, [INFO], robot3, {'battery-level': '57.96'}, None, None
370.08, [INFO], robot3, {'battery-level': '57.56'}, None, None
380.00, [INFO], robot3, {'battery-level': '57.16'}, None, None
390.03, [INFO], robot3, {'battery-level': '56.76'}, None, None
400.07, [INFO], robot3, {'battery-level': '56.36'}, None, None
410.01, [INFO], robot3, {'battery-level': '55.96'}, None, None
420.06, [INFO], robot3, {'battery-level': '55.56'}, None, None
430.09, [INFO], robot3, {'battery-level': '55.16'}, None, None
440.02, [INFO], robot3, {'battery-level': '54.76'}, None, None
450.07, [INFO], robot3, {'battery-level': '54.36'}, None, None
460.08, [INFO], robot3, {'battery-level': '53.96'}, None, None
470.02, [INFO], robot3, {'battery-level': '53.56'}, None, None
480.06, [INFO], robot3, {'battery-level': '53.16'}, None, None
490.08, [INFO], robot3, {'battery-level': '52.76'}, None, None
500.02, [INFO], robot3, {'battery-level': '52.36'}, None, None
510.03, [INFO], robot3, {'battery-level': '51.96'}, None, None
520.07, [INFO], robot3, {'battery-level': '51.56'}, None, None
530.08, [INFO], robot3, {'battery-level': '51.16'}, None, None
540.02, [INFO], robot3, {'battery-level': '50.76'}, None, None
550.05, [INFO], robot3, {'battery-level': '50.36'}, None, None
560.09, [INFO], robot3, {'battery-level': '49.96'}, None, None
570.02, [INFO], robot3, {'battery-level': '49.56'}, None, None
580.05, [INFO], robot3, {'battery-level': '49.16'}, None, None
590.10, [INFO], robot3, {'battery-level': '48.76'}, None, None
600.01, [INFO], robot3, {'battery-level': '48.36'}, None, None
610.04, [INFO], robot3, {'battery-level': '47.96'}, None, None
620.07, [INFO], robot3, {'battery-level': '47.56'}, None, None
629.92, [INFO], robot3, {'battery-level': '47.16'}, None, None
640.01, [INFO], robot3, {'battery-level': '46.76'}, None, None
650.05, [INFO], robot3, {'battery-level': '46.36'}, None, None
660.07, [INFO], robot3, {'battery-level': '45.96'}, None, None
670.01, [INFO], robot3, {'battery-level': '45.56'}, None, None
680.05, [INFO], robot3, {'battery-level': '45.16'}, None, None
690.10, [INFO], robot3, {'battery-level': '44.76'}, None, None
700.03, [INFO], robot3, {'battery-level': '44.36'}, None, None
710.06, [INFO], robot3, {'battery-level': '43.96'}, None, None
720.08, [INFO], robot3, {'battery-level': '43.56'}, None, None
730.02, [INFO], robot3, {'battery-level': '43.16'}, None, None
740.05, [INFO], robot3, {'battery-level': '42.76'}, None, None
750.09, [INFO], robot3, {'battery-level': '42.36'}, None, None
760.02, [INFO], robot3, {'battery-level': '41.96'}, None, None
770.04, [INFO], robot3, {'battery-level': '41.56'}, None, None
780.07, [INFO], robot3, {'battery-level': '41.16'}, None, None
790.10, [INFO], robot3, {'battery-level': '40.76'}, None, None
800.03, [INFO], robot3, {'battery-level': '40.36'}, None, None
810.07, [INFO], robot3, {'battery-level': '39.96'}, None, None
820.00, [INFO], robot3, {'battery-level': '39.56'}, None, None
830.05, [INFO], robot3, {'battery-level': '39.16'}, None, None
840.10, [INFO], robot3, {'battery-level': '38.76'}, None, None
850.04, [INFO], robot3, {'battery-level': '38.36'}, None, None
860.07, [INFO], robot3, {'battery-level': '37.96'}, None, None
870.00, [INFO], robot3, {'battery-level': '37.56'}, None, None

[WARN], logger, TIMEOUT, None, None
