0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'PC Room 3', 'position': [-28.5, 18.0, -1.57]}, None, None
0.00, [INFO], robot6, {'battery-level': '91.10'}, None, None
0.12, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.9109794326728246, 'battery_discharge_rate': 0.00038, 'id': 6, 'local_plan': [['navigation', ['PC Room 3', [[-27.23, 18.0, -1.57], [-27.23, 16.0], [-28.5, 16.0], [-28.5, 18.0, -1.57]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-28.5, 18.0, -1.57], [-28.5, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 4', 'name': 'r6', 'position': [-27.23, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.12, [DEBUG], logger, Simulation open, None, None
10.00, [INFO], robot6, {'battery-level': '90.76'}, None, None
20.05, [INFO], robot6, {'battery-level': '90.38'}, None, None
30.08, [INFO], robot6, {'battery-level': '90.00'}, None, None
40.03, [INFO], robot6, {'battery-level': '89.62'}, None, None
50.07, [INFO], robot6, {'battery-level': '89.24'}, None, None
60.02, [INFO], robot6, {'battery-level': '88.86'}, None, None
70.07, [INFO], robot6, {'battery-level': '88.48'}, None, None
80.02, [INFO], robot6, {'battery-level': '88.10'}, None, None
90.05, [INFO], robot6, {'battery-level': '87.72'}, None, None
100.10, [INFO], robot6, {'battery-level': '87.34'}, None, None
110.01, [INFO], robot6, {'battery-level': '86.96'}, None, None
120.10, [INFO], robot6, {'battery-level': '86.58'}, None, None
130.02, [INFO], robot6, {'battery-level': '86.20'}, None, None
140.07, [INFO], robot6, {'battery-level': '85.82'}, None, None
150.01, [INFO], robot6, {'battery-level': '85.44'}, None, None
160.02, [INFO], robot6, {'battery-level': '85.06'}, None, None
170.03, [INFO], robot6, {'battery-level': '84.68'}, None, None
180.07, [INFO], robot6, {'battery-level': '84.30'}, None, None
190.01, [INFO], robot6, {'battery-level': '83.92'}, None, None
200.06, [INFO], robot6, {'battery-level': '83.54'}, None, None
210.07, [INFO], robot6, {'battery-level': '83.16'}, None, None
220.06, [INFO], robot6, {'battery-level': '82.78'}, None, None
230.07, [INFO], robot6, {'battery-level': '82.40'}, None, None
240.10, [INFO], robot6, {'battery-level': '82.02'}, None, None
250.00, [INFO], robot6, {'battery-level': '81.64'}, None, None
260.04, [INFO], robot6, {'battery-level': '81.26'}, None, None
270.07, [INFO], robot6, {'battery-level': '80.88'}, None, None
280.09, [INFO], robot6, {'battery-level': '80.50'}, None, None
290.02, [INFO], robot6, {'battery-level': '80.12'}, None, None
300.01, [INFO], robot6, {'battery-level': '79.74'}, None, None
310.04, [INFO], robot6, {'battery-level': '79.36'}, None, None
320.07, [INFO], robot6, {'battery-level': '78.98'}, None, None
330.08, [INFO], robot6, {'battery-level': '78.60'}, None, None
340.01, [INFO], robot6, {'battery-level': '78.22'}, None, None
350.04, [INFO], robot6, {'battery-level': '77.84'}, None, None
360.07, [INFO], robot6, {'battery-level': '77.46'}, None, None
370.01, [INFO], robot6, {'battery-level': '77.08'}, None, None
380.02, [INFO], robot6, {'battery-level': '76.70'}, None, None
390.06, [INFO], robot6, {'battery-level': '76.32'}, None, None
400.08, [INFO], robot6, {'battery-level': '75.94'}, None, None
410.02, [INFO], robot6, {'battery-level': '75.56'}, None, None
420.03, [INFO], robot6, {'battery-level': '75.18'}, None, None
430.05, [INFO], robot6, {'battery-level': '74.80'}, None, None
440.02, [INFO], robot6, {'battery-level': '74.42'}, None, None
450.03, [INFO], robot6, {'battery-level': '74.04'}, None, None
460.05, [INFO], robot6, {'battery-level': '73.66'}, None, None
470.07, [INFO], robot6, {'battery-level': '73.28'}, None, None
480.01, [INFO], robot6, {'battery-level': '72.90'}, None, None
490.01, [INFO], robot6, {'battery-level': '72.52'}, None, None
500.04, [INFO], robot6, {'battery-level': '72.14'}, None, None
510.04, [INFO], robot6, {'battery-level': '71.76'}, None, None
520.07, [INFO], robot6, {'battery-level': '71.38'}, None, None
530.01, [INFO], robot6, {'battery-level': '71.00'}, None, None
540.02, [INFO], robot6, {'battery-level': '70.62'}, None, None
550.06, [INFO], robot6, {'battery-level': '70.24'}, None, None
560.08, [INFO], robot6, {'battery-level': '69.86'}, None, None
570.01, [INFO], robot6, {'battery-level': '69.48'}, None, None
580.02, [INFO], robot6, {'battery-level': '69.10'}, None, None
590.04, [INFO], robot6, {'battery-level': '68.72'}, None, None
600.06, [INFO], robot6, {'battery-level': '68.34'}, None, None
610.09, [INFO], robot6, {'battery-level': '67.96'}, None, None
620.02, [INFO], robot6, {'battery-level': '67.58'}, None, None
630.05, [INFO], robot6, {'battery-level': '67.20'}, None, None
640.04, [INFO], robot6, {'battery-level': '66.82'}, None, None
650.02, [INFO], robot6, {'battery-level': '66.44'}, None, None
660.03, [INFO], robot6, {'battery-level': '66.06'}, None, None
670.09, [INFO], robot6, {'battery-level': '65.68'}, None, None
680.10, [INFO], robot6, {'battery-level': '65.30'}, None, None
690.02, [INFO], robot6, {'battery-level': '64.92'}, None, None
700.05, [INFO], robot6, {'battery-level': '64.54'}, None, None
710.09, [INFO], robot6, {'battery-level': '64.16'}, None, None
720.02, [INFO], robot6, {'battery-level': '63.78'}, None, None
730.04, [INFO], robot6, {'battery-level': '63.40'}, None, None
740.07, [INFO], robot6, {'battery-level': '63.02'}, None, None
750.07, [INFO], robot6, {'battery-level': '62.64'}, None, None
760.05, [INFO], robot6, {'battery-level': '62.26'}, None, None
770.07, [INFO], robot6, {'battery-level': '61.88'}, None, None
780.09, [INFO], robot6, {'battery-level': '61.50'}, None, None
790.09, [INFO], robot6, {'battery-level': '61.12'}, None, None
800.09, [INFO], robot6, {'battery-level': '60.74'}, None, None
810.03, [INFO], robot6, {'battery-level': '60.36'}, None, None
820.06, [INFO], robot6, {'battery-level': '59.98'}, None, None
830.07, [INFO], robot6, {'battery-level': '59.60'}, None, None
840.09, [INFO], robot6, {'battery-level': '59.22'}, None, None
850.01, [INFO], robot6, {'battery-level': '58.84'}, None, None
860.07, [INFO], robot6, {'battery-level': '58.46'}, None, None

[WARN], logger, TIMEOUT, None, None
