0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'PC Room 3', 'position': [-28.5, 18.0, -1.57]}, None, None
0.00, [INFO], robot6, {'battery-level': '91.10'}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.9109794326728246, 'battery_discharge_rate': 0.0005200000000000001, 'id': 6, 'local_plan': [['navigation', ['PC Room 3', [[-27.23, 18.0, -1.57], [-27.23, 16.0], [-28.5, 16.0], [-28.5, 18.0, -1.57]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-28.5, 18.0, -1.57], [-28.5, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 4', 'name': 'r6', 'position': [-27.23, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.08, [INFO], robot6, {'battery-level': '90.63'}, None, None
20.03, [INFO], robot6, {'battery-level': '90.11'}, None, None
30.09, [INFO], robot6, {'battery-level': '89.59'}, None, None
40.09, [INFO], robot6, {'battery-level': '89.07'}, None, None
50.03, [INFO], robot6, {'battery-level': '88.55'}, None, None
60.09, [INFO], robot6, {'battery-level': '88.03'}, None, None
70.03, [INFO], robot6, {'battery-level': '87.51'}, None, None
80.07, [INFO], robot6, {'battery-level': '86.99'}, None, None
90.02, [INFO], robot6, {'battery-level': '86.47'}, None, None
100.07, [INFO], robot6, {'battery-level': '85.95'}, None, None
110.08, [INFO], robot6, {'battery-level': '85.43'}, None, None
120.07, [INFO], robot6, {'battery-level': '84.91'}, None, None
130.10, [INFO], robot6, {'battery-level': '84.39'}, None, None
140.09, [INFO], robot6, {'battery-level': '83.87'}, None, None
150.03, [INFO], robot6, {'battery-level': '83.35'}, None, None
160.07, [INFO], robot6, {'battery-level': '82.83'}, None, None
170.09, [INFO], robot6, {'battery-level': '82.31'}, None, None
180.02, [INFO], robot6, {'battery-level': '81.79'}, None, None
190.05, [INFO], robot6, {'battery-level': '81.27'}, None, None
200.06, [INFO], robot6, {'battery-level': '80.75'}, None, None
210.09, [INFO], robot6, {'battery-level': '80.23'}, None, None
220.01, [INFO], robot6, {'battery-level': '79.71'}, None, None
230.03, [INFO], robot6, {'battery-level': '79.19'}, None, None
240.04, [INFO], robot6, {'battery-level': '78.67'}, None, None
250.06, [INFO], robot6, {'battery-level': '78.15'}, None, None
260.00, [INFO], robot6, {'battery-level': '77.63'}, None, None
270.05, [INFO], robot6, {'battery-level': '77.11'}, None, None
280.06, [INFO], robot6, {'battery-level': '76.59'}, None, None
290.10, [INFO], robot6, {'battery-level': '76.07'}, None, None
300.02, [INFO], robot6, {'battery-level': '75.55'}, None, None
310.06, [INFO], robot6, {'battery-level': '75.03'}, None, None
320.07, [INFO], robot6, {'battery-level': '74.51'}, None, None
329.97, [INFO], robot6, {'battery-level': '73.99'}, None, None
340.07, [INFO], robot6, {'battery-level': '73.47'}, None, None
350.06, [INFO], robot6, {'battery-level': '72.95'}, None, None
360.00, [INFO], robot6, {'battery-level': '72.43'}, None, None
370.04, [INFO], robot6, {'battery-level': '71.91'}, None, None
380.07, [INFO], robot6, {'battery-level': '71.39'}, None, None
390.01, [INFO], robot6, {'battery-level': '70.87'}, None, None
400.04, [INFO], robot6, {'battery-level': '70.35'}, None, None
410.06, [INFO], robot6, {'battery-level': '69.83'}, None, None
