0.00, [INFO], robot3, {'battery-level': '72.32'}, None, None
0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 6', 'position': [-33.9, 18.93, 3.14]}, None, None
0.18, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.7232396784987936, 'battery_discharge_rate': 0.0004, 'id': 3, 'local_plan': [['navigation', ['IC Room 6', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 18.93], [-33.9, 18.93, 3.14]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-33.9, 18.93, 3.14], [-37.0, 18.93], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'IC Room 2', 'name': 'r3', 'position': [-38.0, 21.5, 0.0], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.18, [DEBUG], logger, Simulation open, None, None
10.10, [INFO], robot3, {'battery-level': '71.96'}, None, None
20.07, [INFO], robot3, {'battery-level': '71.56'}, None, None
30.03, [INFO], robot3, {'battery-level': '71.16'}, None, None
40.09, [INFO], robot3, {'battery-level': '70.76'}, None, None
50.07, [INFO], robot3, {'battery-level': '70.36'}, None, None
60.08, [INFO], robot3, {'battery-level': '69.96'}, None, None
70.08, [INFO], robot3, {'battery-level': '69.56'}, None, None
80.08, [INFO], robot3, {'battery-level': '69.16'}, None, None
90.05, [INFO], robot3, {'battery-level': '68.76'}, None, None
100.01, [INFO], robot3, {'battery-level': '68.36'}, None, None
110.05, [INFO], robot3, {'battery-level': '67.96'}, None, None
120.02, [INFO], robot3, {'battery-level': '67.56'}, None, None
130.08, [INFO], robot3, {'battery-level': '67.16'}, None, None
140.08, [INFO], robot3, {'battery-level': '66.76'}, None, None
150.04, [INFO], robot3, {'battery-level': '66.36'}, None, None
160.03, [INFO], robot3, {'battery-level': '65.96'}, None, None
170.07, [INFO], robot3, {'battery-level': '65.56'}, None, None
180.07, [INFO], robot3, {'battery-level': '65.16'}, None, None
190.04, [INFO], robot3, {'battery-level': '64.76'}, None, None
200.01, [INFO], robot3, {'battery-level': '64.36'}, None, None
210.09, [INFO], robot3, {'battery-level': '63.96'}, None, None
220.08, [INFO], robot3, {'battery-level': '63.56'}, None, None
230.08, [INFO], robot3, {'battery-level': '63.16'}, None, None
240.06, [INFO], robot3, {'battery-level': '62.76'}, None, None
250.06, [INFO], robot3, {'battery-level': '62.36'}, None, None
260.05, [INFO], robot3, {'battery-level': '61.96'}, None, None
270.03, [INFO], robot3, {'battery-level': '61.56'}, None, None
280.03, [INFO], robot3, {'battery-level': '61.16'}, None, None
290.01, [INFO], robot3, {'battery-level': '60.76'}, None, None
300.00, [INFO], robot3, {'battery-level': '60.36'}, None, None
310.03, [INFO], robot3, {'battery-level': '59.96'}, None, None
320.03, [INFO], robot3, {'battery-level': '59.56'}, None, None
330.03, [INFO], robot3, {'battery-level': '59.16'}, None, None
340.02, [INFO], robot3, {'battery-level': '58.76'}, None, None
350.10, [INFO], robot3, {'battery-level': '58.36'}, None, None
360.09, [INFO], robot3, {'battery-level': '57.96'}, None, None
370.04, [INFO], robot3, {'battery-level': '57.56'}, None, None
380.04, [INFO], robot3, {'battery-level': '57.16'}, None, None
390.02, [INFO], robot3, {'battery-level': '56.76'}, None, None
400.09, [INFO], robot3, {'battery-level': '56.36'}, None, None
410.07, [INFO], robot3, {'battery-level': '55.96'}, None, None
420.02, [INFO], robot3, {'battery-level': '55.56'}, None, None
430.02, [INFO], robot3, {'battery-level': '55.16'}, None, None
440.00, [INFO], robot3, {'battery-level': '54.76'}, None, None
450.07, [INFO], robot3, {'battery-level': '54.36'}, None, None
460.06, [INFO], robot3, {'battery-level': '53.96'}, None, None
470.05, [INFO], robot3, {'battery-level': '53.56'}, None, None
480.05, [INFO], robot3, {'battery-level': '53.16'}, None, None
490.02, [INFO], robot3, {'battery-level': '52.76'}, None, None
500.10, [INFO], robot3, {'battery-level': '52.36'}, None, None
510.07, [INFO], robot3, {'battery-level': '51.96'}, None, None
520.05, [INFO], robot3, {'battery-level': '51.56'}, None, None
530.02, [INFO], robot3, {'battery-level': '51.16'}, None, None
540.01, [INFO], robot3, {'battery-level': '50.76'}, None, None
550.01, [INFO], robot3, {'battery-level': '50.36'}, None, None
560.00, [INFO], robot3, {'battery-level': '49.96'}, None, None
570.08, [INFO], robot3, {'battery-level': '49.56'}, None, None
580.07, [INFO], robot3, {'battery-level': '49.16'}, None, None
590.03, [INFO], robot3, {'battery-level': '48.76'}, None, None
600.08, [INFO], robot3, {'battery-level': '48.36'}, None, None
610.07, [INFO], robot3, {'battery-level': '47.96'}, None, None
620.01, [INFO], robot3, {'battery-level': '47.56'}, None, None
630.10, [INFO], robot3, {'battery-level': '47.16'}, None, None
640.09, [INFO], robot3, {'battery-level': '46.76'}, None, None
650.09, [INFO], robot3, {'battery-level': '46.36'}, None, None
660.08, [INFO], robot3, {'battery-level': '45.96'}, None, None
670.08, [INFO], robot3, {'battery-level': '45.56'}, None, None
680.06, [INFO], robot3, {'battery-level': '45.16'}, None, None
690.09, [INFO], robot3, {'battery-level': '44.76'}, None, None
700.05, [INFO], robot3, {'battery-level': '44.36'}, None, None
710.03, [INFO], robot3, {'battery-level': '43.96'}, None, None
720.02, [INFO], robot3, {'battery-level': '43.56'}, None, None
730.01, [INFO], robot3, {'battery-level': '43.16'}, None, None
740.01, [INFO], robot3, {'battery-level': '42.76'}, None, None
750.01, [INFO], robot3, {'battery-level': '42.36'}, None, None
760.09, [INFO], robot3, {'battery-level': '41.96'}, None, None
770.06, [INFO], robot3, {'battery-level': '41.56'}, None, None
780.04, [INFO], robot3, {'battery-level': '41.16'}, None, None
790.02, [INFO], robot3, {'battery-level': '40.76'}, None, None
800.08, [INFO], robot3, {'battery-level': '40.36'}, None, None
810.08, [INFO], robot3, {'battery-level': '39.96'}, None, None
820.07, [INFO], robot3, {'battery-level': '39.56'}, None, None
830.06, [INFO], robot3, {'battery-level': '39.16'}, None, None
840.06, [INFO], robot3, {'battery-level': '38.76'}, None, None
850.06, [INFO], robot3, {'battery-level': '38.36'}, None, None
860.05, [INFO], robot3, {'battery-level': '37.96'}, None, None

[WARN], logger, TIMEOUT, None, None
