0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'PC Room 3', 'position': [-28.5, 18.0, -1.57]}, None, None
0.00, [INFO], robot6, {'battery-level': '54.08'}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.5408465660492595, 'battery_discharge_rate': 0.00038, 'id': 6, 'local_plan': [['navigation', ['PC Room 3', [[-27.23, 18.0, -1.57], [-27.23, 16.0], [-28.5, 16.0], [-28.5, 18.0, -1.57]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-28.5, 18.0, -1.57], [-28.5, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 4', 'name': 'r6', 'position': [-27.23, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.05, [INFO], robot6, {'battery-level': '53.74'}, None, None
20.04, [INFO], robot6, {'battery-level': '53.36'}, None, None
30.09, [INFO], robot6, {'battery-level': '52.98'}, None, None
40.05, [INFO], robot6, {'battery-level': '52.60'}, None, None
50.08, [INFO], robot6, {'battery-level': '52.22'}, None, None
60.05, [INFO], robot6, {'battery-level': '51.84'}, None, None
70.07, [INFO], robot6, {'battery-level': '51.46'}, None, None
80.07, [INFO], robot6, {'battery-level': '51.08'}, None, None
90.02, [INFO], robot6, {'battery-level': '50.70'}, None, None
100.06, [INFO], robot6, {'battery-level': '50.32'}, None, None
110.07, [INFO], robot6, {'battery-level': '49.94'}, None, None
120.09, [INFO], robot6, {'battery-level': '49.56'}, None, None
130.01, [INFO], robot6, {'battery-level': '49.18'}, None, None
140.03, [INFO], robot6, {'battery-level': '48.80'}, None, None
150.03, [INFO], robot6, {'battery-level': '48.42'}, None, None
160.02, [INFO], robot6, {'battery-level': '48.04'}, None, None
170.07, [INFO], robot6, {'battery-level': '47.66'}, None, None
180.01, [INFO], robot6, {'battery-level': '47.28'}, None, None
190.04, [INFO], robot6, {'battery-level': '46.90'}, None, None
200.08, [INFO], robot6, {'battery-level': '46.52'}, None, None
210.09, [INFO], robot6, {'battery-level': '46.14'}, None, None
220.02, [INFO], robot6, {'battery-level': '45.76'}, None, None
230.04, [INFO], robot6, {'battery-level': '45.38'}, None, None
240.06, [INFO], robot6, {'battery-level': '45.00'}, None, None
250.00, [INFO], robot6, {'battery-level': '44.62'}, None, None
260.09, [INFO], robot6, {'battery-level': '44.24'}, None, None
270.03, [INFO], robot6, {'battery-level': '43.86'}, None, None
280.07, [INFO], robot6, {'battery-level': '43.48'}, None, None
290.08, [INFO], robot6, {'battery-level': '43.10'}, None, None
300.08, [INFO], robot6, {'battery-level': '42.72'}, None, None
310.06, [INFO], robot6, {'battery-level': '42.34'}, None, None
320.01, [INFO], robot6, {'battery-level': '41.96'}, None, None
330.04, [INFO], robot6, {'battery-level': '41.58'}, None, None
340.08, [INFO], robot6, {'battery-level': '41.20'}, None, None
350.01, [INFO], robot6, {'battery-level': '40.82'}, None, None
360.07, [INFO], robot6, {'battery-level': '40.44'}, None, None
370.04, [INFO], robot6, {'battery-level': '40.06'}, None, None
380.00, [INFO], robot6, {'battery-level': '39.68'}, None, None
390.02, [INFO], robot6, {'battery-level': '39.30'}, None, None
400.06, [INFO], robot6, {'battery-level': '38.92'}, None, None
410.09, [INFO], robot6, {'battery-level': '38.54'}, None, None
420.04, [INFO], robot6, {'battery-level': '38.16'}, None, None
430.00, [INFO], robot6, {'battery-level': '37.78'}, None, None
440.05, [INFO], robot6, {'battery-level': '37.40'}, None, None
450.09, [INFO], robot6, {'battery-level': '37.02'}, None, None
460.05, [INFO], robot6, {'battery-level': '36.64'}, None, None
