0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 2', 'position': [-38.0, 21.5, 0.0]}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.5080169438370433, 'battery_discharge_rate': 0.0005200000000000001, 'id': 6, 'local_plan': [['navigation', ['IC Room 2', [[-33.9, 18.93, 3.14], [-37.0, 18.93], [-37.0, 21.5], [-38.0, 21.5, 0.0]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'IC Room 6', 'name': 'r6', 'position': [-33.9, 18.93, 3.14], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.00, [INFO], robot6, {'battery-level': '50.33'}, None, None
20.06, [INFO], robot6, {'battery-level': '49.81'}, None, None
30.01, [INFO], robot6, {'battery-level': '49.29'}, None, None
40.08, [INFO], robot6, {'battery-level': '48.77'}, None, None
50.07, [INFO], robot6, {'battery-level': '48.25'}, None, None
60.03, [INFO], robot6, {'battery-level': '47.73'}, None, None
70.04, [INFO], robot6, {'battery-level': '47.21'}, None, None
80.05, [INFO], robot6, {'battery-level': '46.69'}, None, None
90.02, [INFO], robot6, {'battery-level': '46.17'}, None, None
100.03, [INFO], robot6, {'battery-level': '45.65'}, None, None
110.03, [INFO], robot6, {'battery-level': '45.13'}, None, None
120.05, [INFO], robot6, {'battery-level': '44.61'}, None, None
130.05, [INFO], robot6, {'battery-level': '44.09'}, None, None
140.08, [INFO], robot6, {'battery-level': '43.57'}, None, None
150.06, [INFO], robot6, {'battery-level': '43.05'}, None, None
160.08, [INFO], robot6, {'battery-level': '42.53'}, None, None
170.07, [INFO], robot6, {'battery-level': '42.01'}, None, None
180.06, [INFO], robot6, {'battery-level': '41.49'}, None, None
190.04, [INFO], robot6, {'battery-level': '40.97'}, None, None
200.03, [INFO], robot6, {'battery-level': '40.45'}, None, None
210.01, [INFO], robot6, {'battery-level': '39.93'}, None, None
220.09, [INFO], robot6, {'battery-level': '39.41'}, None, None
230.06, [INFO], robot6, {'battery-level': '38.89'}, None, None
240.04, [INFO], robot6, {'battery-level': '38.37'}, None, None
250.04, [INFO], robot6, {'battery-level': '37.85'}, None, None
260.06, [INFO], robot6, {'battery-level': '37.33'}, None, None
270.09, [INFO], robot6, {'battery-level': '36.81'}, None, None
280.06, [INFO], robot6, {'battery-level': '36.29'}, None, None
290.02, [INFO], robot6, {'battery-level': '35.77'}, None, None
300.04, [INFO], robot6, {'battery-level': '35.25'}, None, None
310.04, [INFO], robot6, {'battery-level': '34.73'}, None, None
320.03, [INFO], robot6, {'battery-level': '34.21'}, None, None
330.08, [INFO], robot6, {'battery-level': '33.69'}, None, None
340.07, [INFO], robot6, {'battery-level': '33.17'}, None, None
350.08, [INFO], robot6, {'battery-level': '32.65'}, None, None
360.02, [INFO], robot6, {'battery-level': '32.13'}, None, None
370.02, [INFO], robot6, {'battery-level': '31.61'}, None, None
380.09, [INFO], robot6, {'battery-level': '31.09'}, None, None
390.06, [INFO], robot6, {'battery-level': '30.57'}, None, None
400.08, [INFO], robot6, {'battery-level': '30.05'}, None, None
410.09, [INFO], robot6, {'battery-level': '29.53'}, None, None
420.06, [INFO], robot6, {'battery-level': '29.01'}, None, None
430.06, [INFO], robot6, {'battery-level': '28.49'}, None, None
440.07, [INFO], robot6, {'battery-level': '27.97'}, None, None
450.02, [INFO], robot6, {'battery-level': '27.45'}, None, None
460.03, [INFO], robot6, {'battery-level': '26.93'}, None, None
470.04, [INFO], robot6, {'battery-level': '26.41'}, None, None
