0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 2', 'position': [-38.0, 21.5, 0.0]}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.9109794326728246, 'battery_discharge_rate': 0.00072, 'id': 6, 'local_plan': [['navigation', ['IC Room 2', [[-33.9, 18.93, 3.14], [-37.0, 18.93], [-37.0, 21.5], [-38.0, 21.5, 0.0]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'IC Room 6', 'name': 'r6', 'position': [-33.9, 18.93, 3.14], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.09, [INFO], robot6, {'battery-level': '90.45'}, None, None
20.07, [INFO], robot6, {'battery-level': '89.73'}, None, None
30.08, [INFO], robot6, {'battery-level': '89.01'}, None, None
40.00, [INFO], robot6, {'battery-level': '88.29'}, None, None
50.10, [INFO], robot6, {'battery-level': '87.57'}, None, None
60.02, [INFO], robot6, {'battery-level': '86.85'}, None, None
70.02, [INFO], robot6, {'battery-level': '86.13'}, None, None
80.00, [INFO], robot6, {'battery-level': '85.41'}, None, None
90.05, [INFO], robot6, {'battery-level': '84.69'}, None, None
100.09, [INFO], robot6, {'battery-level': '83.97'}, None, None
110.09, [INFO], robot6, {'battery-level': '83.25'}, None, None
120.02, [INFO], robot6, {'battery-level': '82.53'}, None, None
130.03, [INFO], robot6, {'battery-level': '81.81'}, None, None
140.05, [INFO], robot6, {'battery-level': '81.09'}, None, None
150.00, [INFO], robot6, {'battery-level': '80.37'}, None, None
160.01, [INFO], robot6, {'battery-level': '79.65'}, None, None
170.02, [INFO], robot6, {'battery-level': '78.93'}, None, None
180.06, [INFO], robot6, {'battery-level': '78.21'}, None, None
190.09, [INFO], robot6, {'battery-level': '77.49'}, None, None
200.01, [INFO], robot6, {'battery-level': '76.77'}, None, None
210.03, [INFO], robot6, {'battery-level': '76.05'}, None, None
220.04, [INFO], robot6, {'battery-level': '75.33'}, None, None
230.07, [INFO], robot6, {'battery-level': '74.61'}, None, None
240.07, [INFO], robot6, {'battery-level': '73.89'}, None, None
250.08, [INFO], robot6, {'battery-level': '73.17'}, None, None
260.02, [INFO], robot6, {'battery-level': '72.45'}, None, None
269.95, [INFO], robot6, {'battery-level': '71.73'}, None, None
280.07, [INFO], robot6, {'battery-level': '71.01'}, None, None
290.03, [INFO], robot6, {'battery-level': '70.29'}, None, None
300.04, [INFO], robot6, {'battery-level': '69.57'}, None, None
310.07, [INFO], robot6, {'battery-level': '68.85'}, None, None
320.08, [INFO], robot6, {'battery-level': '68.13'}, None, None
330.02, [INFO], robot6, {'battery-level': '67.41'}, None, None
340.04, [INFO], robot6, {'battery-level': '66.69'}, None, None
350.06, [INFO], robot6, {'battery-level': '65.97'}, None, None
360.08, [INFO], robot6, {'battery-level': '65.25'}, None, None
370.09, [INFO], robot6, {'battery-level': '64.53'}, None, None
380.02, [INFO], robot6, {'battery-level': '63.81'}, None, None
390.00, [INFO], robot6, {'battery-level': '63.09'}, None, None
400.09, [INFO], robot6, {'battery-level': '62.37'}, None, None
410.03, [INFO], robot6, {'battery-level': '61.65'}, None, None
420.07, [INFO], robot6, {'battery-level': '60.93'}, None, None
430.05, [INFO], robot6, {'battery-level': '60.21'}, None, None
440.09, [INFO], robot6, {'battery-level': '59.49'}, None, None
450.02, [INFO], robot6, {'battery-level': '58.77'}, None, None
460.07, [INFO], robot6, {'battery-level': '58.05'}, None, None
470.01, [INFO], robot6, {'battery-level': '57.33'}, None, None
480.04, [INFO], robot6, {'battery-level': '56.61'}, None, None
489.93, [INFO], robot6, {'battery-level': '55.89'}, None, None
500.10, [INFO], robot6, {'battery-level': '55.17'}, None, None
510.08, [INFO], robot6, {'battery-level': '54.45'}, None, None
519.94, [INFO], robot6, {'battery-level': '53.73'}, None, None
530.05, [INFO], robot6, {'battery-level': '53.01'}, None, None
540.07, [INFO], robot6, {'battery-level': '52.29'}, None, None
550.02, [INFO], robot6, {'battery-level': '51.57'}, None, None
560.02, [INFO], robot6, {'battery-level': '50.85'}, None, None
570.07, [INFO], robot6, {'battery-level': '50.13'}, None, None
579.97, [INFO], robot6, {'battery-level': '49.41'}, None, None
590.05, [INFO], robot6, {'battery-level': '48.69'}, None, None
600.08, [INFO], robot6, {'battery-level': '47.97'}, None, None
610.02, [INFO], robot6, {'battery-level': '47.25'}, None, None
620.04, [INFO], robot6, {'battery-level': '46.53'}, None, None
630.06, [INFO], robot6, {'battery-level': '45.81'}, None, None
640.02, [INFO], robot6, {'battery-level': '45.09'}, None, None
650.01, [INFO], robot6, {'battery-level': '44.37'}, None, None
660.09, [INFO], robot6, {'battery-level': '43.65'}, None, None
670.01, [INFO], robot6, {'battery-level': '42.93'}, None, None
680.03, [INFO], robot6, {'battery-level': '42.21'}, None, None
690.05, [INFO], robot6, {'battery-level': '41.49'}, None, None
700.05, [INFO], robot6, {'battery-level': '40.77'}, None, None
710.08, [INFO], robot6, {'battery-level': '40.05'}, None, None
720.05, [INFO], robot6, {'battery-level': '39.33'}, None, None
730.07, [INFO], robot6, {'battery-level': '38.61'}, None, None
740.05, [INFO], robot6, {'battery-level': '37.89'}, None, None
750.05, [INFO], robot6, {'battery-level': '37.17'}, None, None
760.06, [INFO], robot6, {'battery-level': '36.45'}, None, None
770.08, [INFO], robot6, {'battery-level': '35.73'}, None, None
780.05, [INFO], robot6, {'battery-level': '35.01'}, None, None
790.03, [INFO], robot6, {'battery-level': '34.29'}, None, None
800.05, [INFO], robot6, {'battery-level': '33.57'}, None, None
810.06, [INFO], robot6, {'battery-level': '32.85'}, None, None
820.02, [INFO], robot6, {'battery-level': '32.13'}, None, None
830.07, [INFO], robot6, {'battery-level': '31.41'}, None, None
840.07, [INFO], robot6, {'battery-level': '30.69'}, None, None
850.01, [INFO], robot6, {'battery-level': '29.97'}, None, None
860.01, [INFO], robot6, {'battery-level': '29.25'}, None, None

[WARN], logger, TIMEOUT, None, None
