0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'PC Room 3', 'position': [-28.5, 18.0, -1.57]}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.5080169438370433, 'battery_discharge_rate': 0.0005200000000000001, 'id': 6, 'local_plan': [['navigation', ['PC Room 3', [[-27.23, 18.0, -1.57], [-27.23, 16.0], [-28.5, 16.0], [-28.5, 18.0, -1.57]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-28.5, 18.0, -1.57], [-28.5, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 4', 'name': 'r6', 'position': [-27.23, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.06, [INFO], robot6, {'battery-level': '50.33'}, None, None
20.10, [INFO], robot6, {'battery-level': '49.81'}, None, None
30.02, [INFO], robot6, {'battery-level': '49.29'}, None, None
40.06, [INFO], robot6, {'battery-level': '48.77'}, None, None
50.01, [INFO], robot6, {'battery-level': '48.25'}, None, None
59.95, [INFO], robot6, {'battery-level': '47.73'}, None, None
70.08, [INFO], robot6, {'battery-level': '47.21'}, None, None
80.02, [INFO], robot6, {'battery-level': '46.69'}, None, None
90.06, [INFO], robot6, {'battery-level': '46.17'}, None, None
100.01, [INFO], robot6, {'battery-level': '45.65'}, None, None
110.02, [INFO], robot6, {'battery-level': '45.13'}, None, None
120.05, [INFO], robot6, {'battery-level': '44.61'}, None, None
130.08, [INFO], robot6, {'battery-level': '44.09'}, None, None
140.02, [INFO], robot6, {'battery-level': '43.57'}, None, None
150.08, [INFO], robot6, {'battery-level': '43.05'}, None, None
160.03, [INFO], robot6, {'battery-level': '42.53'}, None, None
170.08, [INFO], robot6, {'battery-level': '42.01'}, None, None
180.01, [INFO], robot6, {'battery-level': '41.49'}, None, None
190.04, [INFO], robot6, {'battery-level': '40.97'}, None, None
200.08, [INFO], robot6, {'battery-level': '40.45'}, None, None
210.01, [INFO], robot6, {'battery-level': '39.93'}, None, None
220.01, [INFO], robot6, {'battery-level': '39.41'}, None, None
230.07, [INFO], robot6, {'battery-level': '38.89'}, None, None
240.01, [INFO], robot6, {'battery-level': '38.37'}, None, None
250.05, [INFO], robot6, {'battery-level': '37.85'}, None, None
260.09, [INFO], robot6, {'battery-level': '37.33'}, None, None
270.04, [INFO], robot6, {'battery-level': '36.81'}, None, None
280.06, [INFO], robot6, {'battery-level': '36.29'}, None, None
290.01, [INFO], robot6, {'battery-level': '35.77'}, None, None
300.02, [INFO], robot6, {'battery-level': '35.25'}, None, None
310.08, [INFO], robot6, {'battery-level': '34.73'}, None, None
320.03, [INFO], robot6, {'battery-level': '34.21'}, None, None
330.00, [INFO], robot6, {'battery-level': '33.69'}, None, None
340.02, [INFO], robot6, {'battery-level': '33.17'}, None, None
350.05, [INFO], robot6, {'battery-level': '32.65'}, None, None
360.08, [INFO], robot6, {'battery-level': '32.13'}, None, None
370.00, [INFO], robot6, {'battery-level': '31.61'}, None, None
380.05, [INFO], robot6, {'battery-level': '31.09'}, None, None
390.08, [INFO], robot6, {'battery-level': '30.57'}, None, None
400.03, [INFO], robot6, {'battery-level': '30.05'}, None, None
410.06, [INFO], robot6, {'battery-level': '29.53'}, None, None
420.00, [INFO], robot6, {'battery-level': '29.01'}, None, None
430.01, [INFO], robot6, {'battery-level': '28.49'}, None, None
440.04, [INFO], robot6, {'battery-level': '27.97'}, None, None
450.07, [INFO], robot6, {'battery-level': '27.45'}, None, None
460.00, [INFO], robot6, {'battery-level': '26.93'}, None, None
470.02, [INFO], robot6, {'battery-level': '26.41'}, None, None
480.08, [INFO], robot6, {'battery-level': '25.89'}, None, None
490.09, [INFO], robot6, {'battery-level': '25.37'}, None, None
500.04, [INFO], robot6, {'battery-level': '24.85'}, None, None
510.06, [INFO], robot6, {'battery-level': '24.33'}, None, None
520.10, [INFO], robot6, {'battery-level': '23.81'}, None, None
530.03, [INFO], robot6, {'battery-level': '23.29'}, None, None
540.07, [INFO], robot6, {'battery-level': '22.77'}, None, None
550.03, [INFO], robot6, {'battery-level': '22.25'}, None, None
560.08, [INFO], robot6, {'battery-level': '21.73'}, None, None
570.03, [INFO], robot6, {'battery-level': '21.21'}, None, None
580.07, [INFO], robot6, {'battery-level': '20.69'}, None, None
590.09, [INFO], robot6, {'battery-level': '20.17'}, None, None
600.03, [INFO], robot6, {'battery-level': '19.65'}, None, None
610.07, [INFO], robot6, {'battery-level': '19.13'}, None, None
619.99, [INFO], robot6, {'battery-level': '18.61'}, None, None
630.01, [INFO], robot6, {'battery-level': '18.09'}, None, None
640.04, [INFO], robot6, {'battery-level': '17.57'}, None, None
650.08, [INFO], robot6, {'battery-level': '17.05'}, None, None
660.02, [INFO], robot6, {'battery-level': '16.53'}, None, None
670.04, [INFO], robot6, {'battery-level': '16.01'}, None, None
680.09, [INFO], robot6, {'battery-level': '15.49'}, None, None
690.02, [INFO], robot6, {'battery-level': '14.97'}, None, None
700.07, [INFO], robot6, {'battery-level': '14.45'}, None, None
710.02, [INFO], robot6, {'battery-level': '13.93'}, None, None
720.02, [INFO], robot6, {'battery-level': '13.41'}, None, None
730.06, [INFO], robot6, {'battery-level': '12.89'}, None, None
740.07, [INFO], robot6, {'battery-level': '12.37'}, None, None
750.02, [INFO], robot6, {'battery-level': '11.85'}, None, None
760.04, [INFO], robot6, {'battery-level': '11.33'}, None, None
770.06, [INFO], robot6, {'battery-level': '10.81'}, None, None
780.01, [INFO], robot6, {'battery-level': '10.29'}, None, None
790.04, [INFO], robot6, {'battery-level': '9.77'}, None, None
