0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 2', 'position': [-38.0, 21.5, 0.0]}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.462681764358839, 'battery_discharge_rate': 0.0004, 'id': 3, 'local_plan': [['navigation', ['IC Room 2', [[-13.5, 18.0, -1.57], [-13.5, 16.0], [-37.0, 16.0], [-37.0, 21.5], [-38.0, 21.5, 0.0]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'PC Room 7', 'name': 'r3', 'position': [-13.5, 18.0, -1.57], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.09, [INFO], robot3, {'battery-level': '45.91'}, None, None
20.03, [INFO], robot3, {'battery-level': '45.51'}, None, None
30.05, [INFO], robot3, {'battery-level': '45.11'}, None, None
40.09, [INFO], robot3, {'battery-level': '44.71'}, None, None
50.02, [INFO], robot3, {'battery-level': '44.31'}, None, None
60.04, [INFO], robot3, {'battery-level': '43.91'}, None, None
70.05, [INFO], robot3, {'battery-level': '43.51'}, None, None
80.07, [INFO], robot3, {'battery-level': '43.11'}, None, None
90.09, [INFO], robot3, {'battery-level': '42.71'}, None, None
100.02, [INFO], robot3, {'battery-level': '42.31'}, None, None
110.04, [INFO], robot3, {'battery-level': '41.91'}, None, None
120.07, [INFO], robot3, {'battery-level': '41.51'}, None, None
130.09, [INFO], robot3, {'battery-level': '41.11'}, None, None
140.03, [INFO], robot3, {'battery-level': '40.71'}, None, None
150.05, [INFO], robot3, {'battery-level': '40.31'}, None, None
160.09, [INFO], robot3, {'battery-level': '39.91'}, None, None
170.01, [INFO], robot3, {'battery-level': '39.51'}, None, None
180.04, [INFO], robot3, {'battery-level': '39.11'}, None, None
190.04, [INFO], robot3, {'battery-level': '38.71'}, None, None
200.06, [INFO], robot3, {'battery-level': '38.31'}, None, None
210.09, [INFO], robot3, {'battery-level': '37.91'}, None, None
220.02, [INFO], robot3, {'battery-level': '37.51'}, None, None
230.07, [INFO], robot3, {'battery-level': '37.11'}, None, None
240.00, [INFO], robot3, {'battery-level': '36.71'}, None, None
250.03, [INFO], robot3, {'battery-level': '36.31'}, None, None
260.06, [INFO], robot3, {'battery-level': '35.91'}, None, None
270.10, [INFO], robot3, {'battery-level': '35.51'}, None, None
280.01, [INFO], robot3, {'battery-level': '35.11'}, None, None
290.02, [INFO], robot3, {'battery-level': '34.71'}, None, None
300.05, [INFO], robot3, {'battery-level': '34.31'}, None, None
310.05, [INFO], robot3, {'battery-level': '33.91'}, None, None
320.08, [INFO], robot3, {'battery-level': '33.51'}, None, None
330.02, [INFO], robot3, {'battery-level': '33.11'}, None, None
340.06, [INFO], robot3, {'battery-level': '32.71'}, None, None
350.09, [INFO], robot3, {'battery-level': '32.31'}, None, None
360.03, [INFO], robot3, {'battery-level': '31.91'}, None, None
370.04, [INFO], robot3, {'battery-level': '31.51'}, None, None
380.08, [INFO], robot3, {'battery-level': '31.11'}, None, None
390.00, [INFO], robot3, {'battery-level': '30.71'}, None, None
400.02, [INFO], robot3, {'battery-level': '30.31'}, None, None
410.02, [INFO], robot3, {'battery-level': '29.91'}, None, None
420.03, [INFO], robot3, {'battery-level': '29.51'}, None, None
430.07, [INFO], robot3, {'battery-level': '29.11'}, None, None
440.01, [INFO], robot3, {'battery-level': '28.71'}, None, None
450.05, [INFO], robot3, {'battery-level': '28.31'}, None, None
460.07, [INFO], robot3, {'battery-level': '27.91'}, None, None
470.00, [INFO], robot3, {'battery-level': '27.51'}, None, None
480.05, [INFO], robot3, {'battery-level': '27.11'}, None, None
490.05, [INFO], robot3, {'battery-level': '26.71'}, None, None
500.09, [INFO], robot3, {'battery-level': '26.31'}, None, None
510.01, [INFO], robot3, {'battery-level': '25.91'}, None, None
520.06, [INFO], robot3, {'battery-level': '25.51'}, None, None
530.09, [INFO], robot3, {'battery-level': '25.11'}, None, None
