0.00, [DEBUG], nurse, NURSE_CONFIG={'location': 'IC Room 6', 'position': [-33.9, 18.93, 3.14]}, None, None
0.00, [DEBUG], logger, ROBOTS_CONFIG={'avg_speed': 0.15, 'battery_charge': 0.7232396784987936, 'battery_discharge_rate': 0.00036, 'id': 3, 'local_plan': [['navigation', ['IC Room 6', [[-38.0, 21.5, 0.0], [-37.0, 21.5], [-37.0, 18.93], [-33.9, 18.93, 3.14]]], 'navto_room'], ['approach_person', ['nurse'], 'approach_nurse'], ['authenticate_person', ['nurse'], 'authenticate_nurse'], ['operate_drawer', ['open'], 'open_drawer_for_nurse'], ['send_message', ['nurse'], 'notify_nurse_of_open_drawer_for_nurse_completed'], ['wait_message', ['nurse'], 'wait_nurse_to_complete_deposit'], ['operate_drawer', ['close'], 'close_drawer_nurse'], ['navigation', ['Laboratory', [[-33.9, 18.93, 3.14], [-37.0, 18.93], [-37.0, 16.0], [-26.0, 16.0], [-26.0, 13.0, 1.57]]], 'navto_lab'], ['approach_robot', ['lab_arm'], 'approach_arm'], ['operate_drawer', ['open'], 'open_drawer_lab'], ['send_message', ['lab_arm'], 'notify_lab_arm_of_open_drawer_lab_completed'], ['wait_message', ['lab_arm'], 'wait_lab_arm_to_complete_pick_up_sample'], ['operate_drawer', ['close'], 'close_drawer_lab']], 'location': 'IC Room 2', 'name': 'r3', 'position': [-38.0, 21.5, 0.0], 'skills': ['approach_person', 'approach_robot', 'authenticate_person', 'navigation', 'operate_drawer']}, None, None
0.00, [DEBUG], logger, Simulation open, None, None
10.06, [INFO], robot3, {'battery-level': '72.00'}, None, None
20.01, [INFO], robot3, {'battery-level': '71.64'}, None, None
30.09, [INFO], robot3, {'battery-level': '71.28'}, None, None
40.04, [INFO], robot3, {'battery-level': '70.92'}, None, None
50.09, [INFO], robot3, {'battery-level': '70.56'}, None, None
60.04, [INFO], robot3, {'battery-level': '70.20'}, None, None
70.08, [INFO], robot3, {'battery-level': '69.84'}, None, None
80.03, [INFO], robot3, {'battery-level': '69.48'}, None, None
90.07, [INFO], robot3, {'battery-level': '69.12'}, None, None
100.00, [INFO], robot3, {'battery-level': '68.76'}, None, None
110.05, [INFO], robot3, {'battery-level': '68.40'}, None, None
120.08, [INFO], robot3, {'battery-level': '68.04'}, None, None
129.92, [INFO], robot3, {'battery-level': '67.68'}, None, None
140.02, [INFO], robot3, {'battery-level': '67.32'}, None, None
150.02, [INFO], robot3, {'battery-level': '66.96'}, None, None
160.04, [INFO], robot3, {'battery-level': '66.60'}, None, None
170.08, [INFO], robot3, {'battery-level': '66.24'}, None, None
180.04, [INFO], robot3, {'battery-level': '65.88'}, None, None
190.08, [INFO], robot3, {'battery-level': '65.52'}, None, None
200.02, [INFO], robot3, {'battery-level': '65.16'}, None, None
210.05, [INFO], robot3, {'battery-level': '64.80'}, None, None
220.05, [INFO], robot3, {'battery-level': '64.44'}, None, None
230.06, [INFO], robot3, {'battery-level': '64.08'}, None, None
240.01, [INFO], robot3, {'battery-level': '63.72'}, None, None
250.07, [INFO], robot3, {'battery-level': '63.36'}, None, None
260.07, [INFO], robot3, {'battery-level': '63.00'}, None, None
270.09, [INFO], robot3, {'battery-level': '62.64'}, None, None
280.02, [INFO], robot3, {'battery-level': '62.28'}, None, None
290.06, [INFO], robot3, {'battery-level': '61.92'}, None, None
300.01, [INFO], robot3, {'battery-level': '61.56'}, None, None
310.05, [INFO], robot3, {'battery-level': '61.20'}, None, None
320.10, [INFO], robot3, {'battery-level': '60.84'}, None, None
330.04, [INFO], robot3, {'battery-level': '60.48'}, None, None
340.09, [INFO], robot3, {'battery-level': '60.12'}, None, None
